satellite_id,n_chains,n_draws_per_chain,n_obs,obs_span_days,mean_accept_rate,final_accept_rate,rhat_bc,ess_bulk_bc,ess_tail_bc,mcse_bc,rhat_beta,ess_bulk_beta,ess_tail_beta,mcse_beta,beta_mean,beta_median,beta_sd,beta_hdi_95_low,beta_hdi_95_high,bc_mean,bc_median,bc_sd,bc_hdi_95_low,bc_hdi_95_high,bc_q05,bc_q95,bc_skew,bc_kurtosis
sat1010,4,500,55,125.12830344,,,1.011638982371299,287.38078780198595,426.8773927031722,0.0019973229109930906,1.011638982371299,287.3807878019859,411.0111883109442,1.5360685381588354e-06,0.0277451120349673,0.0277525690037596,2.4923471807795847e-05,0.0276930061310389,0.0277767669287957,36.042413747076544,36.032700247141946,0.03241232925549727,36.00131010795622,36.11020036135327,36.00655319202091,36.10996218833379,1.2187361826199299,1.2553388388656996
sat1011,4,500,50,107.11292117,,,1.0074752859422975,270.54483703467827,155.03809057897595,0.00243576510033101,1.0074711262855431,270.54483703467815,155.03809057897465,1.6501417058521919e-06,0.026070314848769177,0.02607507397720355,1.875900642577274e-05,0.0260383434040173,0.0260920584265698,38.35782285248146,38.35080202933517,0.02766339944211442,38.32583783354122,38.40490097560174,38.33250239859819,38.404130296941844,3.1686588148315136,14.863701139345583
sat1013,4,500,44,96.5395452,,,1.0106741521861533,282.52511640081883,353.49657455739276,0.0019780453912815847,1.0106741521861533,282.5251164008187,348.8497662561407,2.364071927226343e-06,0.034597976885973596,0.0346089671716072,3.7792099464766644e-05,0.0345195734739695,0.034646268313129,28.903458650257914,28.894245674583072,0.03161785709458537,28.86313732151797,28.96907172836528,28.870049952489065,28.96757938006952,1.336533558766989,1.8006178002478377
sat1014,4,500,60,525.53851031,,,1.011032135771478,168.98957554256663,162.4323632651038,0.0034160835287039126,1.011032135771478,168.98957554256657,162.4323632651027,7.231626151361001e-06,0.04618233276370201,0.0462066680353902,8.447780814348238e-05,0.0460609206725116,0.0462577600417383,21.653374902998724,21.6418980749398,0.03985612878024349,21.617994453205284,21.71037802543933,21.620506129721907,21.71014795222256,3.418145508125864,18.161472524315414
sat1019,4,500,20,40.91666666,,,1.0031039098571257,472.00148401545664,419.4238083609755,0.008899057368938626,1.0031039098571257,472.00148401545664,432.54401093775476,9.271481075132302e-06,0.032293185283889116,0.032283608767403,0.0002014096953750204,0.0318876381744785,0.0326673544452144,30.967489582797683,30.975471398033648,0.19313858675461884,30.61160038769203,31.360114992785984,30.651234567021437,31.28375455090448,0.018185026293698576,0.20328795947857925
sat1030,4,500,49,107.13417988999998,,,1.0088056008470843,231.56941439221896,244.92253861329135,0.0038546069622265996,1.0088087870952622,231.56941439221902,236.12311352759534,4.323184158545618e-06,0.03353941843618326,0.0335638506814336,6.257563558464416e-05,0.0333915527799652,0.0335993047326969,29.81576716425921,29.793959265620373,0.055815250708816,29.762520622245432,29.94769385507568,29.76691714316797,29.945783503218426,1.8019800177181249,2.98982613048749
